x,y
0.290245,3.000055
4.844142,0.234218
5.397396,0.117469
-1.699625,-1.464363
1.499811,0.788183
2.874180,1.035120
-1.511107,-1.267845
0.312485,3.034551
1.488202,0.698663
3.566799,-0.508866
-0.562790,2.309431
3.715902,-0.344221
0.462297,4.384011
1.887211,1.417599
1.212762,0.884744
2.096898,2.311879
1.728790,1.580385
-0.547026,-1.413704
-0.205558,2.204095
0.107636,-2.076961
5.707027,-0.230635
-0.332958,3.019910
1.322983,1.255174
-0.401993,-0.777238
5.998614,0.473854
-0.838696,0.157777
2.908341,0.957854
-0.130147,-2.103048
3.513138,0.047022
-0.416603,-1.672547
-1.268173,3.278692
2.430167,0.079676
0.441294,2.445392
1.026409,3.152361
-0.217675,2.938729
0.151240,3.192396
0.448815,3.505269
2.415002,0.671789
-0.305742,2.526096
-1.177525,-1.759275
3.777349,0.146783
0.303881,2.280420
-1.096767,4.022681
-0.295739,2.628887
0.368581,-1.440494
1.833948,0.831529
1.145026,0.777793
-2.056010,-1.050409
0.239688,3.418162
5.698863,-0.346683
5.627230,0.525373
3.547699,-1.198913
4.283400,-0.062052
2.804985,0.215596
2.141418,1.874130
0.422885,2.547637
-1.245738,-0.404278
5.690897,0.468988
-2.947817,-2.927983
1.383375,1.954496
2.285369,0.557566
-1.597768,-0.490866
-0.425612,3.239432
-0.528952,2.685290
3.180258,-0.030508
-0.704627,-1.380898
-0.519913,-1.542095
5.586214,0.589247
0.174012,3.488065
-2.018206,-1.475875
1.769567,1.512948
0.231966,2.315616
-0.442604,3.914863
0.949906,-0.231022
-0.557527,-1.977629
0.150905,2.295148
-1.093865,2.430040
-2.189863,-2.620141
5.827516,0.314258
-0.772696,3.845029
0.546200,2.810089
-0.997527,-2.416318
-0.316100,2.341084
-1.486322,-1.477117
4.993438,0.000441
3.618570,-0.910663
-0.846417,3.998241
1.465753,2.122138
2.189833,0.708947
-0.248130,2.639037
0.692887,2.238195
-1.051520,-1.028619
-1.609475,-0.178406
4.380424,-1.547062
2.413673,3.027885
3.116664,0.487934
3.714482,-0.505136
5.026962,0.905803
0.043926,2.813201
-0.643200,2.876077
2.317378,3.019981
2.147705,2.065032
2.355225,1.468282
5.378951,-0.821909
3.397522,1.603400
3.728297,-0.810743
4.788075,-0.943312
2.551475,1.035652
-0.120161,3.219423
1.893591,1.389253
-1.530191,-1.881197
1.894011,2.234103
0.844498,1.866019
-0.124639,-1.749935
1.449978,-0.367268
-1.578685,-1.703835
1.833193,2.668909
-0.673175,3.414397
0.432500,2.530987
-0.344170,3.114733
-0.660126,2.807229
4.624933,-0.520299
4.470847,0.067632
5.020176,-0.225831
-5.035486,-2.146563
1.917030,0.099595
-0.558540,2.418427
6.599379,-2.366083
-0.064016,3.205721
-0.415838,3.378726
0.346001,2.451900
0.083096,3.119102
2.422518,0.094268
2.681314,-0.191435
-1.626048,-1.093401
1.311135,2.099911
-0.533901,3.269029
4.637849,0.897509
-2.905916,-1.202447
2.215857,-1.156029
-0.637648,-1.499757
2.076997,2.330648
4.350182,-0.482364
2.493710,1.157012
-1.666172,-3.019645
-1.400019,-3.762012
-1.653345,-1.777353
4.147593,-0.509529
4.144017,-0.561385
-1.138301,0.014391
2.547592,-0.566348
4.450796,-0.848070
-2.531682,-1.285453
-1.905568,-1.775337
-1.444121,-1.302234
-2.742104,-1.836329
0.084678,2.563759
0.545018,4.050536
-0.300529,4.193994
0.337323,-1.621412
-0.947151,3.205143
0.605522,2.615783
4.921160,-1.355805
0.733832,3.651793
0.187928,2.048763
1.770436,1.023277
-0.229900,-0.240961
-1.500667,-1.681159
3.413042,0.022201
4.683891,-0.353964
3.291105,-0.285607
2.507148,0.606641
-0.627326,1.510662
-1.100384,-1.506824
0.250218,3.384089
-0.178842,1.604262
3.620282,-0.632753
-0.277714,3.282598
-0.182307,-2.256310
2.928602,-0.670727
-0.617514,3.171416
4.594438,0.039665
-1.213457,-2.522784
-0.318485,-1.333675
-0.147755,-2.434404
1.870738,2.765887
-0.074066,3.349775
-0.885233,-2.540349
-1.305891,-1.133774
2.490572,2.665768
-1.006386,-1.358370
0.323154,2.358543
5.659622,-3.599050
5.837922,0.474854
2.711753,2.584229
2.935283,2.488563
-0.784102,-2.207707
0.478008,-0.884300
0.487793,2.732897
0.185787,2.904106
1.586416,1.889900
-2.690375,-2.336090
0.388302,-0.906415
3.212724,-1.157542
-0.754764,-0.633628
-0.005281,-1.208823
0.116529,2.002990
0.193844,-0.160648
-0.207786,3.783805
2.907404,0.376655
-0.758440,-1.835869
1.236652,-1.006938
0.263524,-1.839279
5.550369,0.215290
-2.558474,-1.774954
2.153128,2.444797
3.142985,-0.336320
-1.600018,-0.507786
0.042920,2.750928
4.486577,0.397190
0.061093,-1.442425
4.795382,-0.340280
-1.629120,-2.117029
0.289947,3.550280
-1.161852,-2.260875
-0.528412,4.183420
5.647697,-0.044506
4.166268,-0.024295
-0.397863,1.978174
-1.088544,2.545695
0.508440,-0.536214
1.423598,0.982992
2.654146,0.211848
0.951147,2.782603
2.993581,0.304197
-2.237605,-2.529410
-1.153952,-2.079653
0.046884,2.846047
0.119103,0.617272
-0.100444,3.418560
-1.004362,-0.471546
-2.158601,-0.734554
3.629025,-0.110612
-0.682242,-2.020387
4.152803,-0.087937
0.285050,-1.389171
4.361913,-0.667875
-0.565102,-1.372469
-0.469102,-1.516737
2.694367,0.053671
0.479385,3.295373
-0.599543,-3.086686
-1.536220,-1.359771
-1.415203,-0.853518
0.920608,-1.005800
2.810598,-0.123076
-0.124348,2.238482
2.025421,1.624458
5.029331,-0.060727
4.376967,0.513419
0.566429,4.636358
3.742149,-0.780166
-0.681799,-1.056165
-0.475392,-1.847170
-0.803568,0.392542
5.008925,-0.812354
0.105789,1.857477
0.092577,2.840569
3.760743,0.608748
-0.779960,-0.651583
0.539543,-1.113669
2.453501,1.225669
2.742191,1.100748
-0.699493,-0.862195
2.093291,2.211895
3.116891,-0.060328
4.042129,-0.584749
2.631615,0.242666
2.091237,2.071991
-1.581435,-1.903526
2.679326,-3.031899
2.290812,2.364843
5.750119,-0.654934
-1.262111,-0.554982
4.761433,-0.722201
1.297875,3.643230
3.946035,-0.897406
4.206599,-0.621878
-1.896988,-1.823996
3.764408,-0.577924
-1.470041,-1.181853
-1.722898,-1.307749
-0.471397,3.197838
-0.736637,3.222011
0.400387,2.787012
-0.648336,-1.038806
-1.140832,-1.850515
2.044154,2.819113
-0.830659,3.694507
2.459736,2.662783
-0.563863,-0.716673
3.128140,2.092714
5.768367,0.133884
-0.705965,-3.188608
-0.535913,2.899571
2.921542,-0.078227
-0.956024,3.538192
1.666039,1.706130
-0.106459,-1.971196
-1.385830,3.761311
2.664028,-0.123511
1.901367,0.636757
-0.032452,2.893762
0.316532,3.658265
1.560688,1.871543
-0.231572,3.602835
3.301142,-0.543077
-0.305112,3.101029
-1.544694,-1.147457
3.028840,0.530365
-1.148319,-1.107396
2.935008,-0.005218
3.114955,0.368800
4.913485,0.259185
5.091946,-0.517063
0.380042,-1.431228
-2.589627,-2.097120
-0.026496,3.959367
-0.226671,2.287089
-0.637073,-2.107402
1.149154,2.209236
1.677647,2.000008
-2.801482,-1.473533
4.906051,-1.709687
-0.684721,-1.147794
0.006319,-2.232270
-0.830027,-1.957371
5.220517,0.520000
0.103995,3.175723
-2.887832,1.222509
-2.503846,-1.339603
-0.034959,3.021308
-0.901399,-1.415850
5.406913,0.334267
0.282375,2.836215
-1.232216,-1.110784
-0.324542,3.750953
3.051013,1.476178
1.216733,0.832768
0.616311,-1.302060
5.988776,0.144154
-1.222164,-0.209033
-0.777296,3.306500
2.210107,0.943838
-1.783644,-2.282940
-0.610282,-1.366645
-0.576334,-1.128191
1.961480,0.711039
4.429083,0.301369
-1.026240,-0.962034
-2.370430,-2.251164
2.795772,2.302151
-0.697877,-0.151429
2.173484,1.726294
3.173669,-0.448873
4.125454,-0.035626
3.262541,-0.702069
-0.620292,-2.884740
-0.648210,2.276933
4.610847,0.571992
4.627121,-0.238371
4.920592,-1.856736
-3.440526,-1.806668
0.259853,3.774243
3.923151,-0.413583
0.571609,4.120383
1.392071,3.595337
-0.771380,-1.706720
0.511247,-2.801310
5.214885,2.516695
4.932560,-0.263423
-0.228887,2.968333
6.619575,2.901268
0.595682,1.124083
4.710244,0.470309
5.627265,0.649751
-1.122758,2.932733
