possession_pct,shots_on_target,pass_accuracy_pct,defensive_errors,distance_covered_km,xG,home_away,formation,result
31.14,13,87.2,3,99.13,1.296,1,2,1
34.86,6,65.79,0,104.86,3.192,0,2,1
31.41,0,88.0,0,107.54,2.034,1,2,1
58.64,13,74.93,4,107.62,2.691,0,0,1
44.15,11,58.08,3,102.34,2.86,1,1,1
52.89,3,57.34,6,112.13,1.262,0,1,0
70.84,3,68.37,0,109.52,1.575,0,1,1
41.22,8,86.4,0,107.71,2.985,1,0,1
48.47,5,83.31,3,86.67,1.335,0,0,0
64.0,8,86.54,2,85.21,2.799,1,0,1
40.3,11,75.69,0,91.37,3.299,1,0,1
33.46,14,72.61,1,104.91,2.219,0,2,1
43.04,5,60.9,3,97.34,2.622,0,0,0
37.25,5,68.13,0,97.07,2.837,0,0,1
71.84,4,72.36,4,111.54,2.973,0,0,1
66.37,4,58.54,5,111.87,1.443,0,1,0
58.5,1,63.82,1,112.28,0.274,1,1,0
69.22,7,78.93,7,94.42,1.466,0,1,0
66.17,7,84.43,7,105.73,2.391,1,2,1
38.4,10,94.93,5,93.15,1.631,0,2,1
70.17,12,92.32,7,90.72,2.646,0,0,1
54.27,0,80.7,5,90.54,1.314,0,1,0
66.33,7,71.85,0,95.26,2.258,1,2,1
70.32,4,80.45,1,97.9,0.734,0,1,1
44.31,1,86.43,1,109.93,2.648,1,2,1
34.95,13,59.73,2,88.6,1.955,1,2,1
40.26,1,71.4,5,107.05,0.794,1,0,0
49.22,13,88.59,1,100.94,1.092,0,0,1
66.81,14,70.35,2,93.64,2.645,1,2,1
68.73,14,77.87,3,99.78,1.741,0,0,1
30.31,5,78.51,2,94.0,0.835,1,2,1
52.98,10,62.38,4,102.88,3.389,0,2,1
48.78,12,69.49,6,98.02,2.531,1,1,1
39.99,8,68.38,0,89.93,3.354,0,0,1
35.39,0,56.05,3,88.5,1.552,0,0,0
45.19,11,55.97,6,101.4,1.715,0,0,1
72.43,5,88.27,6,112.07,3.153,1,1,0
44.54,8,65.92,3,95.32,1.885,1,1,1
53.35,7,75.72,4,106.99,2.505,0,1,1
61.64,10,66.95,2,104.76,0.957,1,0,1
46.36,5,92.63,0,112.95,1.619,1,0,1
73.73,2,65.37,2,109.63,0.52,1,0,1
73.31,7,72.19,1,102.0,0.8,1,1,1
41.33,8,89.91,2,104.71,0.103,1,1,1
52.38,0,88.68,7,111.95,0.234,1,2,0
43.54,11,62.44,3,96.99,3.423,1,1,1
42.82,8,87.11,0,94.8,0.924,0,2,1
31.66,13,73.33,2,85.32,2.355,0,0,1
57.43,14,74.32,0,109.8,2.953,1,1,1
52.62,5,60.34,0,109.03,1.972,0,0,1
32.32,5,58.22,1,88.13,0.621,0,0,0
42.54,11,84.12,1,102.31,2.576,0,0,1
70.87,3,74.86,3,98.92,2.141,1,0,1
40.78,0,72.47,4,88.56,2.586,1,1,0
36.52,9,84.18,7,114.42,2.717,1,0,1
52.03,7,85.62,6,91.44,3.416,1,2,1
74.35,1,61.36,0,87.02,2.05,1,1,1
40.89,11,79.41,4,102.85,1.262,0,0,1
60.25,0,60.41,6,107.17,2.305,1,1,0
64.27,1,85.06,6,85.97,0.333,0,2,0
40.69,0,81.28,7,104.76,3.151,1,0,0
62.77,0,93.26,3,100.97,0.506,0,2,1
46.55,8,57.76,6,88.1,1.215,1,0,0
58.45,12,57.28,7,90.18,2.874,1,2,1
58.51,13,66.29,6,102.04,2.131,1,0,1
54.11,0,65.47,0,93.89,1.438,1,1,1
34.06,12,64.88,0,113.15,1.71,1,0,1
67.59,3,91.25,5,109.56,3.005,1,1,1
44.44,9,64.98,4,114.51,1.256,0,0,0
38.39,5,65.88,2,92.79,3.057,1,0,1
31.83,6,85.38,7,114.09,0.4,0,2,0
56.59,1,72.99,1,97.94,2.741,1,2,1
60.49,5,86.07,7,95.43,2.982,0,2,0
30.75,6,57.61,2,86.51,0.718,0,0,0
53.04,9,74.5,4,86.58,1.563,0,0,0
40.19,13,56.34,1,105.76,0.663,0,0,1
59.03,9,57.51,2,98.74,2.502,0,1,1
37.85,1,91.26,5,91.8,1.92,0,1,0
61.09,14,60.57,1,103.42,2.26,1,0,1
47.4,1,76.3,0,92.59,0.768,0,2,0
72.15,9,71.44,2,102.33,0.82,1,2,1
36.19,6,68.89,7,95.78,0.241,1,2,0
45.35,11,90.99,1,109.71,1.195,0,0,1
35.11,0,55.87,5,109.62,2.003,0,2,0
71.61,7,81.55,7,99.32,3.017,1,0,1
69.48,10,93.54,6,95.52,2.368,0,1,1
41.61,12,77.41,1,95.88,1.58,0,2,1
59.7,2,92.47,1,109.17,3.341,0,1,1
66.77,10,57.09,5,94.85,2.545,0,2,1
54.98,5,71.75,6,91.27,3.263,0,0,0
53.83,8,65.41,2,87.54,1.894,0,0,1
40.88,5,84.23,3,99.0,0.98,0,0,0
34.19,8,94.25,2,99.46,0.28,1,0,1
70.37,6,65.26,6,110.23,2.569,0,2,1
70.52,14,81.17,4,91.64,0.512,1,1,1
58.49,8,62.92,7,96.43,1.129,1,0,0
45.26,1,77.61,5,109.25,1.91,1,2,0
45.71,11,73.56,2,109.71,2.019,1,1,1
62.67,7,93.88,1,96.54,2.142,0,0,1
70.37,7,79.34,5,98.77,0.665,1,1,1
69.92,1,68.98,0,94.1,1.391,1,0,1
65.09,11,59.56,6,112.98,2.198,1,1,1
58.89,13,61.05,7,88.56,3.397,1,1,1
33.79,3,64.01,2,113.01,2.574,1,0,0
37.27,13,65.04,5,105.52,3.237,0,2,1
70.43,14,89.02,7,100.95,2.692,0,1,1
57.29,10,77.45,2,85.98,2.112,1,0,1
30.41,14,75.94,5,99.27,0.753,0,1,0
34.57,6,59.59,1,97.23,2.367,0,1,0
59.86,10,89.41,0,89.84,2.219,1,2,1
30.23,3,83.91,0,104.69,2.148,1,1,1
37.24,3,57.71,4,114.13,1.765,1,1,0
54.69,5,83.31,5,101.87,1.897,0,0,0
61.14,9,76.74,2,106.44,1.237,1,0,1
59.34,5,58.27,0,87.05,1.866,0,2,1
40.09,9,73.33,6,97.53,0.772,0,1,0
62.05,14,74.39,0,88.49,2.838,0,1,1
40.68,2,61.63,3,103.38,0.732,1,1,0
44.64,14,92.83,3,113.15,0.389,0,2,1
63.59,8,89.0,0,104.85,1.583,1,1,1
59.23,11,81.76,5,87.3,2.338,1,0,1
68.22,9,73.49,4,95.64,1.588,1,2,1
59.59,13,71.47,0,101.52,1.041,1,0,1
55.57,10,81.04,1,97.1,1.998,1,0,1
34.22,1,76.82,7,110.01,1.28,0,2,0
46.55,5,57.49,2,109.44,3.272,0,0,1
41.93,11,75.5,4,103.35,3.237,0,1,1
40.98,6,87.26,1,96.2,1.808,0,2,0
73.79,11,73.37,4,92.66,1.215,0,0,1
47.69,12,57.08,1,88.18,2.606,1,1,1
70.14,8,86.45,2,95.65,0.225,1,1,1
58.4,12,63.05,2,97.4,1.714,0,0,1
65.77,2,65.34,3,105.27,1.243,0,1,0
52.62,9,61.59,5,104.74,3.23,0,2,1
55.96,2,68.21,1,87.1,0.141,1,0,0
52.16,6,85.27,7,96.86,1.98,1,1,0
38.79,13,75.78,3,90.45,2.618,1,1,1
62.51,3,63.2,1,89.7,1.749,0,0,0
42.63,12,90.11,3,109.82,0.39,0,0,1
31.09,7,90.18,2,86.26,3.406,0,0,0
59.05,12,89.82,4,97.58,1.861,0,0,1
37.97,6,64.55,6,90.05,2.188,1,2,0
72.32,4,73.05,3,111.38,0.904,0,0,1
72.93,6,94.4,1,101.71,1.744,0,2,1
71.17,2,85.88,1,91.94,1.559,0,2,0
46.66,11,56.09,6,100.07,0.355,1,0,0
30.7,1,57.61,5,106.94,0.461,1,2,0
71.77,5,73.56,7,113.74,2.947,0,0,0
49.27,1,91.37,2,91.61,0.915,1,0,1
73.5,2,76.55,1,111.59,0.763,1,1,1
73.36,5,74.91,0,113.03,1.817,1,0,1
68.39,4,59.22,4,112.49,2.714,1,1,1
43.25,7,81.27,3,104.06,0.311,1,2,0
47.33,8,87.88,5,103.89,2.061,0,1,0
68.3,10,70.22,7,97.1,0.505,0,2,0
44.26,2,86.02,6,107.57,0.224,0,0,0
37.63,11,93.58,4,100.94,0.279,1,2,1
55.06,9,63.15,2,105.32,2.936,1,2,1
72.13,2,75.93,5,97.85,0.501,1,0,0
61.32,2,66.49,7,106.94,0.254,1,2,0
55.65,12,86.71,3,109.73,1.589,0,0,1
34.37,12,78.1,3,89.39,2.97,0,1,1
57.68,5,80.38,6,109.99,0.992,0,0,0
74.55,14,86.92,0,101.21,1.534,0,0,1
36.3,14,70.84,6,110.34,0.236,0,2,1
53.32,0,91.6,2,97.94,1.627,0,1,0
69.48,6,76.32,5,96.37,2.064,1,0,1
63.33,11,61.32,5,112.45,2.041,1,1,1
61.37,0,82.84,1,92.54,1.23,0,1,1
61.61,13,86.73,0,110.33,1.173,1,2,1
46.18,4,67.67,0,99.52,0.463,0,0,0
43.21,14,89.29,5,100.42,1.347,0,2,1
66.42,9,91.25,5,94.25,0.438,1,0,1
66.46,12,66.08,4,102.19,2.706,0,1,1
69.02,7,94.34,7,94.76,3.385,0,0,1
71.1,3,60.63,4,86.18,3.398,0,0,0
53.01,4,63.08,4,93.16,3.041,1,1,1
52.57,3,62.37,0,85.19,2.143,1,1,1
65.92,11,90.76,1,114.35,2.483,1,0,1
59.25,11,81.17,3,113.97,1.07,1,2,1
61.59,13,61.08,4,96.85,2.245,0,0,1
65.81,3,72.61,1,106.85,1.649,1,1,1
70.05,11,79.61,6,95.37,1.739,1,2,1
45.21,7,58.34,2,105.13,2.676,1,1,1
46.9,1,90.3,4,109.16,1.059,0,1,0
34.23,0,87.14,6,113.4,1.181,1,2,0
56.02,2,75.21,3,97.01,3.244,1,1,1
31.62,8,93.69,2,108.5,0.291,0,1,0
50.95,3,71.71,2,92.98,1.751,0,1,1
54.42,9,94.36,3,114.71,3.204,0,1,1
42.89,4,81.72,4,85.77,2.175,0,1,0
56.59,1,80.39,0,103.11,1.958,1,1,1
31.37,3,61.64,3,104.79,0.949,0,1,0
31.68,1,90.28,3,105.64,1.267,1,1,0
67.02,14,72.1,3,88.61,2.997,1,1,1
46.21,1,61.49,2,113.16,2.001,1,0,1
35.72,3,55.5,7,90.44,1.85,1,0,0
53.5,5,77.39,1,103.68,0.439,1,1,0
64.65,6,76.1,6,91.68,0.154,0,0,0
39.71,9,83.77,0,94.22,3.377,1,2,1
58.03,2,90.61,4,101.39,1.382,1,0,0
33.84,2,58.18,4,97.52,2.151,1,1,0
32.33,9,84.26,6,89.81,0.371,0,1,0
53.91,5,62.5,1,90.13,2.423,1,0,1
54.33,12,89.33,3,97.54,3.271,1,1,1
58.68,11,87.76,7,107.72,2.057,0,2,1
62.67,2,76.63,0,111.94,0.529,1,2,1
73.91,12,83.41,4,87.52,2.078,1,1,1
53.23,1,67.57,6,96.79,2.706,0,2,0
44.53,7,73.85,5,88.01,1.482,1,2,0
65.78,4,87.87,7,85.5,3.091,1,0,0
42.19,14,73.37,6,104.85,2.306,1,2,1
49.75,0,69.31,7,103.07,3.157,1,0,0
33.53,2,74.77,4,89.89,2.22,1,1,0
31.14,9,88.13,3,92.01,0.546,0,0,0
73.32,7,68.41,5,85.71,1.153,0,1,0
67.62,3,61.95,1,110.05,0.786,0,1,0
61.32,13,83.48,0,114.24,3.19,1,1,1
48.4,6,88.04,1,89.06,2.685,1,1,1
37.8,9,59.03,1,91.94,2.4,1,1,1
37.04,11,64.59,6,111.05,1.123,0,0,0
41.26,13,60.68,7,112.79,0.726,1,1,0
54.72,13,68.92,0,97.59,2.672,1,2,1
62.16,1,73.01,0,86.52,1.712,1,2,0
59.71,6,84.95,4,86.18,0.868,0,1,1
42.6,4,81.05,4,102.22,2.197,0,2,1
72.97,4,79.84,0,96.79,0.237,1,0,1
63.21,5,69.09,5,85.86,1.209,1,0,0
54.95,12,88.66,2,102.5,1.693,1,1,1
57.53,8,73.85,4,85.34,0.603,0,1,0
48.88,13,94.16,2,108.62,3.448,0,1,1
41.15,5,80.37,6,94.19,0.811,0,2,0
46.02,11,60.05,5,86.21,0.543,1,2,0
64.1,12,82.05,0,102.65,0.792,0,0,1
30.65,14,68.0,5,96.93,2.715,1,2,0
35.22,13,82.45,4,114.21,1.547,1,0,1
32.07,7,57.79,1,101.33,2.022,0,2,1
31.83,6,62.0,6,93.26,0.171,1,0,0
68.5,8,89.23,0,106.28,0.217,0,1,1
61.66,3,64.09,3,93.14,1.616,1,2,0
51.34,1,88.48,6,112.13,2.877,1,0,0
34.4,6,66.17,7,96.24,3.11,0,2,0
52.12,5,80.72,2,101.5,0.395,1,1,0
51.31,0,82.77,5,86.52,1.93,1,0,0
37.79,10,75.51,0,97.78,3.205,1,2,1
49.52,8,67.21,6,109.97,1.419,1,2,0
47.93,8,63.51,5,109.17,2.921,1,1,1
57.71,11,56.33,0,91.73,0.555,1,1,1
58.58,1,67.16,4,91.78,3.28,1,0,0
32.04,2,81.13,6,109.52,2.655,1,2,0
46.86,4,92.53,4,112.91,3.301,0,2,0
58.16,4,89.85,6,87.86,2.4,0,1,0
52.64,14,85.64,4,98.5,1.336,1,1,1
68.54,0,86.54,7,95.12,3.29,1,0,1
59.64,7,81.6,5,111.12,1.037,0,2,1
37.33,11,65.41,3,87.51,1.229,1,2,0
33.18,7,91.29,6,91.33,2.483,0,0,1
58.91,3,81.83,7,107.57,2.702,0,0,0
31.19,12,77.42,6,86.54,3.26,0,1,0
56.36,6,59.44,4,99.78,0.796,1,1,1
72.31,14,72.88,0,98.26,2.813,1,0,1
55.9,14,73.41,6,95.03,2.611,1,0,1
47.47,10,89.58,7,96.84,0.317,0,2,0
58.95,9,76.87,4,100.9,1.417,0,0,1
50.62,2,70.22,1,89.84,1.061,0,0,0
54.55,5,94.07,4,102.16,1.135,1,2,1
72.37,13,59.43,5,109.16,3.442,0,0,1
47.37,9,71.9,3,107.8,2.285,0,1,0
73.25,12,56.68,1,89.62,2.54,1,1,1
70.74,9,84.6,5,89.48,3.42,0,2,1
38.81,11,91.72,5,93.05,1.382,0,0,1
33.12,13,66.2,5,95.83,2.826,1,1,0
34.54,8,89.33,0,97.25,1.577,1,1,1
30.82,0,66.69,5,105.39,3.056,0,1,0
34.25,4,91.43,0,86.7,0.714,1,1,0
60.74,3,85.16,5,86.04,3.322,0,0,0
33.2,7,87.2,2,96.76,0.844,1,0,0
44.35,10,55.72,7,105.91,1.209,0,0,0
68.02,11,93.51,1,90.8,2.671,1,0,1
31.05,0,84.07,2,104.25,1.439,0,1,0
66.65,8,67.19,5,92.79,2.168,1,2,1
42.68,5,88.18,1,111.58,1.612,1,2,1
35.32,3,66.26,1,111.87,2.624,1,1,1
61.35,11,89.91,6,93.92,0.876,1,1,1
58.3,8,59.5,3,91.9,0.299,1,2,1
69.49,10,83.15,2,97.34,1.12,1,2,1
63.08,4,76.63,3,92.22,1.713,1,1,1
66.16,14,58.86,1,105.17,0.671,0,1,1
42.69,4,64.68,0,109.78,1.306,0,0,1
37.98,11,55.5,1,105.19,1.46,1,0,1
63.78,4,73.75,3,109.73,0.295,1,2,1
66.31,0,67.05,2,96.91,2.083,0,1,0
74.57,0,78.93,5,89.69,3.107,0,2,0
48.57,7,66.89,6,107.14,0.616,1,0,0
46.74,11,67.0,6,95.81,2.133,0,0,0
64.94,7,84.73,6,105.14,2.36,0,2,0
45.34,11,56.93,5,93.12,1.526,1,0,1
71.88,14,91.12,6,87.44,2.484,1,1,1
68.63,14,89.09,2,114.78,1.496,1,2,1
49.3,5,81.71,5,89.69,1.816,0,1,1
63.79,11,78.73,6,114.65,0.125,1,1,1
63.95,10,90.69,5,114.32,2.452,1,0,1
34.64,12,62.41,3,108.81,2.349,0,1,1
70.61,3,58.16,7,104.78,0.231,1,2,0
52.74,1,64.58,7,102.33,1.352,0,1,0
67.19,13,86.78,2,110.98,3.429,0,1,1
44.4,1,56.39,4,93.68,1.531,0,1,0
70.3,8,78.31,0,99.03,1.807,0,1,1
47.51,14,94.82,6,103.58,3.194,0,1,1
30.49,4,89.23,0,97.34,2.539,0,0,1
70.74,3,75.86,5,97.82,2.079,1,2,0
34.11,9,57.55,0,94.91,2.813,1,0,0
44.37,12,88.25,2,101.93,3.039,1,2,1
72.75,0,78.96,2,110.52,1.653,0,2,1
72.78,6,59.6,1,91.05,1.715,1,2,1
55.8,2,58.75,7,113.03,1.413,0,2,0
58.43,5,91.39,6,105.67,3.387,1,2,1
50.18,4,81.77,1,109.7,2.47,0,1,1
43.19,4,88.17,0,101.69,0.383,1,0,1
44.79,10,90.16,4,108.39,3.034,0,0,1
60.26,4,77.87,1,85.49,1.734,1,1,1
63.86,0,75.7,1,109.55,0.334,0,2,0
65.62,0,72.22,2,86.2,1.969,1,0,0
65.53,2,67.68,4,111.7,1.518,0,1,1
34.1,13,72.38,5,114.76,3.084,1,1,1
52.25,11,85.96,0,93.82,0.794,1,0,1
32.59,9,79.08,1,91.31,2.91,1,0,1
54.73,3,90.7,4,107.96,1.996,0,2,1
49.87,4,72.74,7,92.59,0.286,0,2,0
69.95,1,79.28,6,110.97,3.404,0,0,0
45.79,7,80.25,4,88.09,1.843,0,2,0
35.27,10,78.67,7,88.78,1.089,0,1,0
36.43,10,83.11,0,114.37,1.696,1,2,1
64.27,13,64.5,4,105.22,3.017,0,2,1
57.82,1,75.49,7,110.41,1.137,1,1,0
34.55,8,59.17,4,94.73,0.755,1,2,0
33.78,1,70.38,4,105.29,0.539,0,1,0
61.54,12,74.51,6,102.83,1.113,1,2,1
33.27,8,81.09,7,103.09,2.752,0,0,0
66.98,6,93.02,7,105.48,1.704,0,2,1
61.78,14,79.03,1,102.26,0.873,0,0,1
33.66,7,84.74,0,97.87,0.665,1,0,1
33.82,14,75.25,6,93.28,1.231,0,0,0
74.4,10,80.36,4,108.06,3.296,0,0,1
46.84,1,57.84,4,91.79,1.266,0,0,0
46.68,6,65.18,1,105.77,3.46,1,1,1
66.58,11,69.47,0,92.0,1.75,0,1,1
72.63,5,73.9,2,103.76,0.709,1,1,1
74.37,3,56.83,6,107.41,3.13,1,0,1
63.9,6,60.6,1,91.56,1.665,0,2,1
46.93,13,66.07,0,86.8,2.513,1,1,1
33.76,12,93.86,6,88.93,3.445,1,2,1
64.97,3,68.25,4,103.18,0.271,0,2,0
55.13,1,74.28,0,110.48,0.429,0,0,0
49.09,9,62.84,0,86.35,2.55,0,0,1
70.79,11,79.43,5,107.02,1.058,1,0,1
35.0,6,66.23,0,95.24,0.727,0,1,0
52.17,7,63.28,2,99.36,0.234,1,0,1
30.51,1,75.66,0,112.87,0.174,1,1,0
51.09,4,55.22,2,94.96,2.733,1,1,1
32.53,0,55.31,4,98.96,0.557,1,1,0
35.35,6,63.76,2,85.41,1.69,1,1,1
35.29,7,56.47,6,87.45,2.16,0,0,0
59.21,12,59.32,4,92.76,1.556,0,1,1
63.57,5,68.55,4,85.84,0.192,1,0,0
56.25,4,87.1,2,103.94,2.764,1,0,1
73.3,14,77.88,7,97.79,0.136,0,1,1
46.87,5,75.51,1,101.44,2.69,0,0,1
42.86,14,66.74,3,90.24,3.137,1,2,1
69.09,1,92.27,7,93.88,1.572,1,0,0
40.06,0,70.88,0,104.91,1.921,0,0,0
73.35,6,58.48,5,113.96,1.722,0,1,1
30.55,6,79.68,3,86.51,1.423,1,1,0
73.64,9,59.55,0,111.71,3.117,0,0,1
31.94,10,68.81,7,102.31,3.139,0,1,1
70.1,9,75.3,7,101.92,1.242,1,2,1
53.75,13,89.97,0,100.01,2.191,1,2,1
74.68,1,74.74,4,87.08,3.251,1,1,0
33.32,1,83.09,0,87.7,3.371,0,0,0
54.92,0,94.71,5,103.03,1.83,1,2,0
73.62,9,60.26,7,95.23,1.64,0,2,0
53.54,7,65.99,0,112.52,1.048,1,0,1
58.32,14,70.78,2,97.2,3.36,1,1,1
61.31,7,71.87,3,89.3,0.586,0,2,1
50.45,0,71.44,2,106.44,2.071,0,0,0
58.24,11,91.3,5,93.8,1.061,1,0,1
56.29,10,83.56,0,100.76,1.049,1,2,1
70.55,7,79.32,6,105.93,1.477,0,1,1
32.05,8,67.37,5,112.01,3.496,1,2,0
42.64,13,87.95,4,108.77,0.287,0,0,1
72.77,3,93.2,2,105.29,2.067,0,2,1
70.06,0,87.85,2,105.39,0.381,1,1,1
50.5,0,55.06,1,113.38,0.625,0,0,0
57.91,2,80.46,0,93.87,1.595,0,1,1
42.48,14,57.05,4,85.03,1.836,0,2,1
38.47,13,65.3,6,93.16,0.98,1,2,0
50.87,4,57.38,2,91.54,1.176,0,1,0
45.9,4,79.15,2,104.86,0.396,1,2,0
56.26,8,82.46,4,104.01,1.131,1,1,1
33.5,9,59.58,5,102.8,3.386,1,2,1
73.85,13,70.35,5,85.49,3.312,0,1,1
74.38,11,73.25,0,106.86,1.239,0,1,1
61.42,1,69.76,7,94.71,2.041,1,0,0
54.12,1,59.84,1,104.95,3.193,1,0,1
43.93,5,71.76,2,101.7,0.121,0,1,0
66.62,14,85.05,7,95.28,2.856,1,2,1
60.81,8,57.84,7,89.04,3.324,1,2,0
37.32,0,58.21,1,87.83,0.411,0,2,0
70.99,8,69.19,7,109.95,0.649,1,1,1
67.01,8,92.67,7,112.55,3.367,0,1,1
72.74,12,81.74,5,104.49,1.928,0,1,1
62.66,8,82.15,5,88.1,0.148,1,1,1
57.6,4,69.48,3,97.06,0.976,0,0,0
48.82,12,78.75,6,106.87,1.63,0,1,1
71.97,14,55.41,0,108.39,2.456,0,2,1
68.97,8,80.44,7,88.55,2.593,1,0,0
32.03,10,91.53,3,85.0,3.484,1,2,1
31.19,3,79.5,6,106.36,1.078,1,1,0
46.94,1,89.95,3,95.7,1.93,0,0,0
66.47,12,83.96,3,92.63,1.913,0,1,1
74.43,5,59.82,0,85.39,1.479,1,0,1
36.77,13,91.1,0,101.21,0.675,1,2,1
56.74,3,57.66,4,110.53,3.423,0,1,1
47.14,5,76.36,1,113.73,3.001,1,1,1
73.65,2,60.69,1,101.97,1.794,1,0,1
67.9,5,55.47,4,100.43,2.151,1,0,0
67.72,1,71.88,4,87.55,0.873,1,1,0
51.09,1,66.8,5,101.47,1.949,1,0,0
48.67,12,74.44,6,96.4,2.463,0,1,1
42.3,8,78.09,3,103.21,1.852,1,0,1
32.54,6,56.75,7,96.66,3.467,1,2,0
68.91,2,59.92,4,92.21,2.179,0,0,0
66.58,12,77.35,2,87.85,1.361,0,2,1
74.99,10,68.73,1,94.45,2.725,0,0,1
74.85,0,84.17,4,87.9,0.68,0,0,0
54.99,7,81.09,2,90.31,1.407,1,1,1
